reference,prediction,WER,CER
eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır,eşq şəyərlərindən ələvə din və təsəvvüf ilə bağlı şeyləri də vardır,27.27,8.96
orta məktəbi bitirdikdən sonra ukraynanın lvov şəhərində hərbi xidmətdə olmuşdur,orta məktəbdiyi bitirdikdən sonra ukraynanın lübov şəhərində hərbi xidmətdə olmuşdur,20.0,6.25
hal hazırda xəzər kanalında prodüser olaraq işinə davam edir,hal hazırda xəzər kanalında prodüsör olaraq işinə davam edir,11.11,1.67
təpə antarktidada yerləşən start burnunun adını daşıyır,təpə antarktidada yerləşən start qurumunun adını daşıyır,14.29,5.45
lənkəran şəhərində dəfn olunub,lənkəran şəhərində dəfn olub,25.0,6.67
onların qalıqlarına çin və özbəkistan ərazilərində aşkarlanmışdır,onların qalıqlarına çin və özbəkistan əvəzlərində şikayət edilmişdir,42.86,23.08
ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur,etraftakı ərazilərlə müqayisədə dumanlı və qarq növkü olan günlərin sayı daha çoxdur,25.0,9.52
yeni azərbaycan partiyasının fəal üzvüdür,yeni azərbaycan partiyasının fəal özüdür,20.0,4.88
qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var,hədin alban tarixinin izləri bir ərzidə bir çox yerlərə var,40.0,10.0
kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı,kəndin yerində müasir qəsəbənən inşası planlaşdırılırdı,16.67,1.82
sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar,takinlər tarixi abidələrə çox əsaslığa yanaşılır,50.0,13.46
rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır,rusiya qayıtlıqdan sonra teatr və kinosanəsində çalışmışdır,50.0,8.06
papanın xahişini qəbul edən attila geri döndü,qapanın xaişliyini qəbul edən atilla geri döndü,42.86,15.56
idman həyatı başa çatdıqdan sonra torpe ailəsini saxlamaq üçün çalışmışdır,idmanın həyatı para çatdıqdan sonra torpə ailəsini saxlamaq üçün çalışmışdır,30.0,6.76
jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər,jurnalistlər hekayələrinin əyləncəli hala gəlməsinin səbəb olan müəyyən bir məsələnə faktor ata bilərlər,23.08,4.81
onu ran min adlı qardaşlığı öldürmüşdü,onur ağam min adı qardaşlığı öldürmüşdü,50.0,13.16
yarada iki əsas dəyişiklik baş verir,yarada iki səs dəyişiklik baş verir,16.67,5.56
komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir,kamsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralı yerlər,33.33,6.58
film iki seriyadan ibarətdir,film 2 seriyadan ibarətdir,25.0,10.71
bunun səbəbləri müxtəlifdir,bunun səbəbləri müxtəlifdir,0.0,0.0
bəyazid taxta keçdikdən sonra ishaq paşanı yenidən sədrəzəm seçdi,bəyazid taxta keçdikdən sonra hisaq paşanı yenidən sədrəzəm seçdi,11.11,3.08
salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı,salar təxəllüsü ilə ruhu ələminə uyğun şeirlər yazırdı,25.0,3.77
cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər,cavabında qazaklar narazı şəxsləri quyaya ataraq öldürdülər,28.57,3.39
netflix nədir,netflixs nədər,100.0,15.38
müsabiqədən sonra onu artıq hamı tanımağa başlayır,müsabiqədən sonra onu artıq hamı tanımama başlayır,14.29,2.0
insanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər,insanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif zəbəblərdən baş verə bilər,10.0,1.2
həmin il yaponiya misirin müstəqilliyini tanımışdır,həmin il yaponiya misirin müstəqilliyini tanımışdır,0.0,0.0
beş uşaq atası idi,5 uşaq atası idi,25.0,16.67
film türkiyə yazıçısı nazim hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır,film türkiyə yazıcı nazim hikmətin yeni adlı əsərinin motivləri əssasında yaradılmışdır,40.0,8.05
yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur,yuxarı axarlarda bataklaşmış ərazidən axır və suyu dayaz olur,11.11,1.64
ölkə ərazisindən axan niger çayının adı ilə adlanır,ölkə ərazisində axan niger tayının adı ilə adlanır,25.0,3.92
elə orta məktəbi də həmin kənddə bitirib,elə orta məktəbi də həmin kənddən bitirib,14.29,2.5
daha sonra həmin məktəbin direktoru olur,daha sonra həmin məktəbin direktoru olur,0.0,0.0
atası qızına mükəmməl təhsil vermək arzusunda idi,atası qızına mükəmmil təhsil vermək arzusundaydı,42.86,8.16
